ID Mancha,Área (px²),"BBox (x, y, w, h)","Centroide (x, y)",Intensidad Media (0-255)
1,50.0,"(148, 93, 14, 33)","(155, 109)",80.4
2,492.0,"(221, 9, 156, 23)","(299, 20)",76.69
